-1,-1,-1,0
133,48,149,48
128,49,154,49
124,50,158,50
120,51,162,51
118,52,164,52
115,53,167,53
113,54,169,54
111,55,171,55
109,56,173,56
107,57,175,57
106,58,176,58
104,59,178,59
103,60,179,60
101,61,181,61
100,62,182,62
99,63,183,63
97,64,185,64
96,65,186,65
95,66,187,66
94,67,188,67
93,68,189,68
92,69,190,69
91,70,191,70
90,71,192,71
89,72,193,72
88,73,194,73
88,74,194,74
87,75,195,75
86,76,196,76
85,77,197,77
84,78,198,78
83,79,199,79
83,80,199,80
82,81,200,81
81,82,201,82
80,83,202,83
80,84,202,84
79,85,203,85
78,86,204,86
78,87,204,87
77,88,205,88
77,89,205,89
76,90,206,90
75,91,207,91
75,92,207,92
74,93,208,93
74,94,208,94
73,95,209,95
73,96,209,96
72,97,210,97
72,98,210,98
71,99,211,99
71,100,211,100
70,101,212,101
70,102,212,102
70,103,212,103
69,104,213,104
69,105,213,105
68,106,214,106
68,107,214,107
68,108,214,108
67,109,215,109
67,110,215,110
67,111,215,111
66,112,216,112
66,113,216,113
66,114,216,114
66,115,216,115
65,116,217,116
65,117,217,117
65,118,217,118
64,119,218,119
64,120,218,120
64,121,218,121
64,122,218,122
64,123,218,123
63,124,219,124
63,125,219,125
63,126,219,126
63,127,219,127
63,128,219,128
62,129,220,129
62,130,220,130
62,131,220,131
62,132,220,132
62,133,220,133
62,134,220,134
62,135,220,135
62,136,220,136
61,137,221,137
61,138,221,138
61,139,221,139
61,140,221,140
61,141,221,141
61,142,221,142
61,143,221,143
61,144,221,144
61,145,221,145
61,146,221,146
61,147,221,147
61,148,221,148
61,149,221,149
61,150,221,150
61,151,221,151
61,152,221,152
61,153,221,153
61,154,221,154
61,155,221,155
61,156,221,156
61,157,221,157
61,158,221,158
62,159,220,159
62,160,220,160
62,161,220,161
62,162,220,162
62,163,220,163
62,164,220,164
62,165,220,165
62,166,220,166
63,167,219,167
63,168,219,168
63,169,219,169
63,170,219,170
63,171,219,171
64,172,218,172
64,173,218,173
64,174,218,174
64,175,218,175
64,176,218,176
65,177,217,177
65,178,217,178
65,179,217,179
66,180,216,180
66,181,216,181
66,182,216,182
66,183,216,183
67,184,215,184
67,185,215,185
67,186,215,186
68,187,214,187
68,188,214,188
68,189,214,189
69,190,213,190
69,191,213,191
70,192,212,192
70,193,212,193
70,194,212,194
71,195,211,195
71,196,211,196
72,197,210,197
72,198,210,198
73,199,209,199
73,200,209,200
74,201,208,201
74,202,208,202
75,203,207,203
75,204,207,204
76,205,206,205
77,206,205,206
77,207,205,207
78,208,204,208
78,209,204,209
79,210,203,210
80,211,202,211
80,212,202,212
81,213,201,213
82,214,200,214
83,215,199,215
83,216,199,216
84,217,198,217
85,218,197,218
86,219,196,219
87,220,195,220
88,221,194,221
88,222,194,222
89,223,193,223
90,224,192,224
91,225,191,225
92,226,190,226
93,227,189,227
94,228,188,228
95,229,187,229
96,230,186,230
97,231,185,231
99,232,183,232
100,233,182,233
101,234,181,234
103,235,179,235
104,236,178,236
106,237,176,237
107,238,175,238
109,239,173,239
111,240,171,240
113,241,169,241
115,242,167,242
118,243,164,243
120,244,162,244
124,245,158,245
128,246,154,246
133,247,149,247
